3,Pixar Animation Studios
559,TriStar Pictures
6194,Warner Bros.
306,Twentieth Century Fox Film Corporation
5842,Sandollar Productions
508,Regency Enterprises
4,Paramount Pictures
2,Walt Disney Pictures
33,Universal Pictures
60,United Artists
5,Columbia Pictures
915,Hollywood Pictures
183,Le Studio Canal+
441,Columbia Pictures Corporation
14,Miramax Films
5682,O Entertainment
216,Jersey Films
1885,Silver Pictures
175,Caravan Pictures
12,New Line Cinema
288,BBC Films
311,Procirep
2588,Ministère des Affaires Étrangères
70801,Iwerks Entertainment
694,StudioCanal
406,Havoc
53390,Sony New Technologies
6130,Dualstar Productions
53009,Miramax
871,British Screen
364,The Rank Organisation
2480,Alliance Communications Corporation
361,Blue Parrot Productions
7320,Telefilm Canada
8411,Metro-Goldwyn-Mayer (MGM)
82,Renn Productions
59,A Band Apart
5841,Castleberg Productions
1742,Les Films 13
3388,The Movie Network (TMN)
4606,Zweites Deutsches Fernsehen (ZDF)
38953,I.R.I.B. Channel 2
575,Bergen Film
38196,BET Pictures
2492,Playhouse International Pictures
97,Castle Rock Entertainment
802,Egg Pictures
181,Channel Four Films
3324,British Broadcasting Corporation (BBC)
18,Gracie Films
9195,Touchstone Pictures
56,Amblin Entertainment
4564,Icon Entertainment International
806,Téléfilm Canada
83,France 2 Cinéma
3236,Bavaria Film and Television Fund
11308,Savoy Pictures
540,Jet Tone Production
371,Cecchi Gori Group Tiger Cinematografica
264,Studio Babelsberg
22029,Canal Horizons
8,Fine Line Features
93488,Cigua Films
68229,Couch Potatoe Productions
1504,Cinergi Pictures Entertainment
43,Fox Searchlight Pictures
23,Imagine Entertainment
236,October Films
386,Paris Films Productions
1382,PolyGram Filmed Entertainment
4532,Superior Pictures
729,Why Not Productions
12909,The Booking Office
13187,JDI productions
1203,The Ontario Film Development Corporation
16561,Comet Film Produktion GmbH
37897,Kino Link Company
37890,Party Productions
7405,Dimension Films
1422,Killer Films
705,Spring Creek Productions
171,Malpaso Productions
574,Lightstorm Entertainment
1080,Beta Film
6849,Société Française de Production (SFP)
6068,HBO
5358,Canal+
6367,PolyGram Audiovisuel
98,Detour Film Production
6365,Jack Giarraputo Productions
18189,Spelling Films International
4867,Full Moon Entertainment
15709,Keystone Pictures
5528,Ang Lee Productions
