ab,
af,Afrikaans
am,
ar,'العربية
as,
ay,
az,Azərbaycan
be,'беларуская мова
bg,български език
bi,
bm,Bamanankan
bn,বাংলা
bo,
br,
bs,Bosanski
ca,Català
ce,
cn,广州话 / 廣州話
co,
cr,
cs,Český
cy,Cymraeg
da,Dansk
de,Deutsch
dz,
el,ελληνικ�
en,English
eo,Esperanto
es,Español
et,Eesti
eu,
fa,فارسی
ff,Fulfulde
fi,suomi
fo,
fr,Français
fy,
ga,Gaeilge
gd,
gl,
gn,
gu,
ha,
he,עִבְרִית
hi,हिन्दी
hr,Hrvatski
ht,
hu,Magyar
hy,
id,Bahasa indonesia
ig,
is,
it,Italiano
iu,
ja,日本語
jv,
ka,ქართული
ki,
kk,қазақ
km,
kn,?????
ko,한국어/조선말
ku,
kw,
ky,??????
la,Latin
lb,
ln,
lo,
lt,Lietuvi\x9akai
lv,Latviešu
mh,
mi,
mk,
ml,
mn,
mr,
ms,Bahasa melayu
mt,Malti
my,
ne,
nl,Nederlands
no,Norsk
nv,
ny,
oc,
pa,ਪੰਜਾਬੀ
pl,Polski
ps,پښتو
pt,Português
qu,
ro,Română
ru,Pусский
rw,Kinyarwanda
sa,
sc,
sg,
sh,
si,
sk,Slovenčina
sl,Slovenščina
sm,
sn,
so,Somali
sq,shqip
sr,Srpski
st,
sv,svenska
sw,Kiswahili
ta,தமிழ்
te,తెలుగు
tg,
th,ภาษาไทย
tk,
tl,
tn,
to,
tr,Türkçe
tt,
ty,
ug,
uk,Український
ur,اردو
uz,uz
vi,Tiếng Việt
wo,Wolof
xh,
xx,No Language
yi,
zh,普通话
zu,isiZulu
